productType,categories,variantId,sku,key,slug.en,brand,name.en,metaTitle.en,metaDescription.en,metaKeywords.en,description.en,age-range,prices,images
main,Magnetic boards>Boards,1,MB1,MB1,MB1,ferflex,Magnetic wallpaper 2m x 58cm,,,,"Ferflex® dresses the walls by making them beautiful and practical with a range of magnetic wallpapers adapted to every need and every space. Our mission is to simplify your life, by offering you products that are easy to install, practical and decorative.

Create a display space that suits you with Ferflex: modular, durable, infinitely customizable!

Very easy to stick, thanks to its repositionable adhesive, Ferflex® magnetic wallpaper can be positioned on any perfectly smooth support: wall, door, glass, kitchen furniture, cupboard door, wooden board...

Ferflex® offers both decorative and useful products that are adopted by parents and validated by children.

All of our magnetic holders are compatible with all kinds of magnets.

To write on wallpaper, use a white liquid chalk marker or for children, we recommend the use of Stabilo Woody 3 in 1 pencils which are erased with a small cloth moistened with water. It is advisable to clean regularly after writing or drawing on its magnetic wallpaper. You can also use our magnetic slates for endless writing.

To clean it, it is advisable to use a soft microfiber type cloth to avoid scratching the surface. If there are stubborn marks, simply dampen the soft cloth, add a drop of washing-up liquid and rub, insisting on the marks.",6-12,EUR 7600;US-USD 8400,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB1-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB1-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB1-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB1-4.jpeg
main,Magnetic boards>Boards,1,MB2,MB2,MB2,ferflex,Magnetic wallpaper 1mx60cm,,,,"Ferflex® dresses the walls by making them beautiful and practical with a range of magnetic wallpapers adapted to every need and every space. Our mission is to simplify your life, by offering you products that are easy to install, practical and decorative.

Create a display space that suits you with Ferflex: modular, durable, infinitely customizable!

The magnetic wallpaper is also available in other dimensions 60cm x 2m, 60cmx2m60.

Very easy to stick, thanks to its repositionable adhesive, Ferflex® magnetic wallpaper can be positioned on any perfectly smooth support: wall, door, glass, kitchen furniture, cupboard door, wooden board...

Ferflex® offers both decorative and useful products that are adopted by parents and validated by children.

All of our magnetic holders are compatible with all kinds of magnets.

To write on wallpaper, use a white liquid chalk marker or for children, we recommend the use of Stabilo Woody 3 in 1 pencils which are erased with a small cloth moistened with water. It is advisable to clean regularly after writing or drawing on its magnetic wallpaper. You can also use our magnetic slates for endless writing.

To clean it, it is advisable to use a soft microfiber type cloth to avoid scratching the surface. If there are stubborn marks, simply dampen the soft cloth, add a drop of washing-up liquid and rub, insisting on the marks.",6-12,EUR 5600;US-USD 6200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB2-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB2-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB2-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB2-4.jpeg
main,Magnetic boards>Boards,1,MB3,MB3,MB3,ferflex,Magnetic wallpaper 2.60mx60cm,,,,"Ferflex® dresses the walls by making them beautiful and practical with a range of magnetic wallpapers adapted to every need and every space. Our mission is to simplify your life, by offering you products that are easy to install, practical and decorative.

Create a display space that suits you with Ferflex: modular, durable, infinitely customizable!

Very easy to stick, thanks to its repositionable adhesive, Ferflex® magnetic wallpaper can be positioned on any perfectly smooth support: wall, door, glass, kitchen furniture, cupboard door, wooden board...

Ferflex® offers both decorative and useful products that are adopted by parents and validated by children.

All of our magnetic holders are compatible with all kinds of magnets.

To write on wallpaper, use a white liquid chalk marker or for children, we recommend the use of Stabilo Woody 3 in 1 pencils which are erased with a small cloth moistened with water. It is advisable to clean regularly after writing or drawing on its magnetic wallpaper. You can also use our magnetic slates for endless writing.

To clean it, it is advisable to use a soft microfiber type cloth to avoid scratching the surface. If there are stubborn marks, simply dampen the soft cloth, add a drop of washing-up liquid and rub, insisting on the marks.",6-12,EUR 8900;US-USD 9800,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB3-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB3-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB3-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB3-4.jpeg
main,Magnetic boards>Boards,1,MB4,MB4,MB4,ferflex,Magnetic board Montagne,,,,"Want to make a mountain appear in a child's room or a playroom! The mountain magnetic board is a new source of inspiration, an invitation to escape! Puzzles, coloring, photos... you can magnetize everything on them! Plus, the child can also write or draw on it with liquid chalk felt.


The Montagne magnetic board consists of 3 flexible magnetic boards with a mat finish.

Dimensions of the mountain magnetic board: 118x92.5 cm
The central top: 60x60 cm
The highest peak: 55x92.5 cm
The intermediate top: 48.5x75 cm
Table thickness: 0.6mm

All of our magnetic holders are compatible with all kinds of magnets.

To write on wallpaper, use a white liquid chalk marker or for children, we recommend the use of Stabilo Woody 3 in 1 pencils which are erased with a small cloth moistened with water. It is advisable to clean regularly after writing or drawing on its magnetic wallpaper. You can also use our magnetic slates for endless writing.

To clean it, it is advisable to use a soft microfiber type cloth to avoid scratching the surface. If there are stubborn marks, simply dampen the soft cloth, add a drop of washing-up liquid and rub, insisting on the marks.",6-12,EUR 5900;US-USD 6500,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB4-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB4-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB4-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/boards/MB4-4.jpeg
main,Magnetic boards>Board accessories,1,MBA1,MBA1,MBA1,ferflex,Magnetic set Pastel,,,,"These magnetic and erasable reminders are perfect for listing your activities to do, jotting down appointments, and for leaving little messages to pass on to family or roommates.

In addition to their practicality, these magnetic reminders are also decorative!
They are positioned on all the metal surfaces of the house (fridge, metal door, board or magnetic wallpaper).

Sustainable ! Featuring a dry erase surface, write and rewrite on our magnetic sticky notes.

Lighten your mental load, by jotting down all ideas and thoughts on these magnetic sticky notes
Our mission is to make your life easier by offering you products that are simple to use, practical and decorative.",6-12,EUR 2600;US-USD 2900,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA1-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA1-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA1-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA1-4.jpeg;
main,Magnetic boards>Board accessories,1,MBA2,MBA2,MBA2,ferflex,Magnetic set Fraise,,,,"These magnetic and erasable reminders are perfect for listing your activities to do, jotting down appointments, and for leaving little messages to pass on to family or roommates.

In addition to their practicality, these magnetic reminders are also decorative!
They are positioned on all the metal surfaces of the house (fridge, metal door, board or magnetic wallpaper).

Sustainable ! Featuring a dry erase surface, write and rewrite on our magnetic sticky notes.

Lighten your mental load, by jotting down all ideas and thoughts on these magnetic sticky notes
Our mission is to make your life easier by offering you products that are simple to use, practical and decorative.",6-12,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA2-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA2-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA2-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA2-4.jpeg
main,Magnetic boards>Board accessories,1,MBA3,MBA3,MBA3,ferflex,Woody Stabilo pencil set (3 colors),,,,"The Woody Stabilo pencil is the creative companion adopted and validated by both children and parents! Washable, this 3-in-1 pencil transforms all Ferflex® magnetic surfaces into a veritable artistic playground.

These pencils is suitable for writing on Ferflex® colored boards.

3 colors: black, white and blue.",3-6,EUR 1200;US-USD 1300,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA3-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA3-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA3-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA3-4.jpeg
main,Magnetic boards>Board accessories,1,MBA4,MBA4,MBA4,ferflex,Magnet set Matin et Soir,,,,"With these magnets, the child will be able to approach the notion of autonomy and set up his little morning and evening routine. An ideal magnetic game to promote self-confidence and a sense of security.

Language — English.

FERFLEX® MORNING AND EVENING MAGNETIC RITUALS CONTAIN:
14 magnets for morning rituals (6x6 cm per magnet)
15 magnets for evening rituals (6x6 cm per magnet)
7 day of the week magnets",6-12,EUR 2400;US-USD 2700,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA4-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA4-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA4-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/magnetic-boards/board-accessories/MBA4-4.jpeg
main,Toys>Mobile toys,1,MT1,MT1,MT1,lesdeglingos,Activity toy Speculos the Tiger,,,,Discovering life while having fun with the Déglingos is cool! The whole range allows your child to wake up with different activities. Discover and explore while having fun!,0-3,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT1-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT1-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT1-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT1-4.jpeg
main,Toys>Mobile toys,1,MT2,MT2,MT2,lesdeglingos,Activity toy Muchachos the Llama,,,,"Discovering life while having fun with the Déglingos is cool!

Very funny Déglingos activity spiral and easy to hang on the cot or baby stroller: rustling paper, small mirror, vibrating object.",0-3,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT2-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT2-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT2-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT2-4.jpeg
